Date : 2021-04-09 15:26:55
Directory : e:\Dev\React\sidiro
Total : 92 files,  7325 codes, 164 comments, 370 blanks, all 7859 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         48 |      5,056 |        108 |        256 |      5,420 |
| TypeScript       |         32 |      2,000 |         28 |         81 |      2,109 |
| JSON             |          3 |        113 |          0 |          3 |        116 |
| XML              |          4 |         86 |          2 |          2 |         90 |
| Markdown         |          1 |         26 |          0 |         21 |         47 |
| JavaScript       |          1 |         23 |          3 |          4 |         30 |
| HTML             |          1 |         21 |         23 |          1 |         45 |
| CSS              |          2 |          0 |          0 |          2 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         92 |      7,325 |        164 |        370 |      7,859 |
| public                                                                                         |          2 |         46 |         23 |          2 |         71 |
| src                                                                                            |         87 |      7,165 |        141 |        345 |      7,651 |
| src\actions                                                                                    |          8 |         35 |          0 |          6 |         41 |
| src\assets                                                                                     |          3 |         85 |          2 |          2 |         89 |
| src\components                                                                                 |         44 |      4,932 |        103 |        242 |      5,277 |
| src\components\DeviceDataDialog                                                                |         13 |      1,362 |         11 |         54 |      1,427 |
| src\components\Elevation                                                                       |          9 |        456 |          3 |         17 |        476 |
| src\components\Overview                                                                        |          6 |        779 |          5 |         19 |        803 |
| src\hooks                                                                                      |          2 |         56 |          3 |          4 |         63 |
| src\reducers                                                                                   |         10 |      1,500 |          5 |         42 |      1,547 |
| src\routes                                                                                     |          1 |         18 |          0 |          1 |         19 |
| src\services                                                                                   |          2 |         39 |          0 |          4 |         43 |
| src\utilities                                                                                  |          4 |        130 |          0 |          6 |        136 |
| src\workers                                                                                    |          1 |         23 |          3 |          4 |         30 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                       | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| e:\Dev\React\sidiro\README.md                                                                  | Markdown         |         26 |          0 |         21 |         47 |
| e:\Dev\React\sidiro\package.json                                                               | JSON             |         63 |          0 |          1 |         64 |
| e:\Dev\React\sidiro\public\index.html                                                          | HTML             |         21 |         23 |          1 |         45 |
| e:\Dev\React\sidiro\public\manifest.json                                                       | JSON             |         25 |          0 |          1 |         26 |
| e:\Dev\React\sidiro\src\App.css                                                                | CSS              |          0 |          0 |          1 |          1 |
| e:\Dev\React\sidiro\src\App.test.tsx                                                           | TypeScript React |          8 |          0 |          2 |         10 |
| e:\Dev\React\sidiro\src\App.tsx                                                                | TypeScript React |         87 |          0 |          8 |         95 |
| e:\Dev\React\sidiro\src\actions\Backdrop.action.ts                                             | TypeScript       |          2 |          0 |          0 |          2 |
| e:\Dev\React\sidiro\src\actions\DeviceDataDialog.action.ts                                     | TypeScript       |         14 |          0 |          1 |         15 |
| e:\Dev\React\sidiro\src\actions\Elevation.action.ts                                            | TypeScript       |          1 |          0 |          1 |          2 |
| e:\Dev\React\sidiro\src\actions\Events.action.ts                                               | TypeScript       |          3 |          0 |          1 |          4 |
| e:\Dev\React\sidiro\src\actions\LanguageDialog.action.ts                                       | TypeScript       |          2 |          0 |          1 |          3 |
| e:\Dev\React\sidiro\src\actions\SystemTopologyData.action.ts                                   | TypeScript       |          2 |          0 |          0 |          2 |
| e:\Dev\React\sidiro\src\actions\UniversalTabs.action.ts                                        | TypeScript       |          2 |          0 |          1 |          3 |
| e:\Dev\React\sidiro\src\actions\deviceDataDialogElevationDataSource.action.ts                  | TypeScript       |          9 |          0 |          1 |         10 |
| e:\Dev\React\sidiro\src\assets\sie-logo-petrol-rgb.svg                                         | XML              |         42 |          1 |          1 |         44 |
| e:\Dev\React\sidiro\src\assets\sie-logo-white-rgb.svg                                          | XML              |         42 |          1 |          1 |         44 |
| e:\Dev\React\sidiro\src\assets\siemensSivaconLogo.svg                                          | XML              |          1 |          0 |          0 |          1 |
| e:\Dev\React\sidiro\src\components\Backdrop.component.tsx                                      | TypeScript React |         21 |          0 |          4 |         25 |
| e:\Dev\React\sidiro\src\components\BarChart.component.tsx                                      | TypeScript React |         56 |          1 |          5 |         62 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog.component.tsx                              | TypeScript React |         92 |          0 |          5 |         97 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\BreakerDevice.component.tsx                | TypeScript React |         28 |          0 |          2 |         30 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\CurrentTab.component.tsx                   | TypeScript React |        110 |          0 |          5 |        115 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\GeneratorDevice.component.tsx              | TypeScript React |         35 |          0 |          2 |         37 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\OverviewTab.component.tsx                  | TypeScript React |        371 |          6 |          9 |        386 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\OverviewTabCircuitBreakerSVG.component.tsx | TypeScript React |        137 |          0 |          3 |        140 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\OverviewTabGeneratorSVG.component.tsx      | TypeScript React |         31 |          0 |          3 |         34 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\OverviewTabTransformerSVG.component.tsx    | TypeScript React |         44 |          5 |          3 |         52 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\PowerTab.component.tsx                     | TypeScript React |        125 |          0 |          5 |        130 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\THDITab.component.tsx                      | TypeScript React |        110 |          0 |          5 |        115 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\THDUTab.component.tsx                      | TypeScript React |        111 |          0 |          5 |        116 |
| e:\Dev\React\sidiro\src\components\DeviceDataDialog\TransformerDevice.component.tsx            | TypeScript React |         40 |          0 |          2 |         42 |
