"filename", "language", "CSS", "JSON", "JavaScript", "TypeScript", "TypeScript React", "XML", "Markdown", "HTML", "comment", "blank", "total"
"e:\Dev\React\sidiro\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 0, 21, 47
"e:\Dev\React\sidiro\package.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 67
"e:\Dev\React\sidiro\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 23, 1, 45
"e:\Dev\React\sidiro\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Dev\React\sidiro\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Dev\React\sidiro\src\App.test.tsx", "TypeScript React", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Dev\React\sidiro\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 87, 0, 0, 0, 0, 8, 95
"e:\Dev\React\sidiro\src\actions\Backdrop.action.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"e:\Dev\React\sidiro\src\actions\DeviceDataDialog.action.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"e:\Dev\React\sidiro\src\actions\Elevation.action.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\Dev\React\sidiro\src\actions\Events.action.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\Dev\React\sidiro\src\actions\LanguageDialog.action.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\sidiro\src\actions\Reports.action.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\Dev\React\sidiro\src\actions\Reports\CommonReports.action.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\Dev\React\sidiro\src\actions\SystemTopologyData.action.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"e:\Dev\React\sidiro\src\actions\UniversalTabs.action.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\Dev\React\sidiro\src\actions\deviceDataDialogElevationDataSource.action.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\Dev\React\sidiro\src\assets\sie-logo-petrol-rgb.svg", "XML", 0, 0, 0, 0, 0, 42, 0, 0, 1, 1, 44
"e:\Dev\React\sidiro\src\assets\sie-logo-white-rgb.svg", "XML", 0, 0, 0, 0, 0, 42, 0, 0, 1, 1, 44
"e:\Dev\React\sidiro\src\assets\siemensSivaconLogo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Dev\React\sidiro\src\components\Backdrop.component.tsx", "TypeScript React", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
